"bNumber"	"gene"	"function"
"b2667"	"ygaV"	"predicted DNA-binding transcriptional regulator"
"b2668"	"ygaP"	"predicted inner membrane protein with hydrolase activity"
"b2669"	"stpA"	"DNA binding protein, nucleoid-associated"
"b2670"	"ygaW"	"predicted inner membrane protein"
"b2671"	"ygaC"	"predicted protein"
"b2672"	"ygaM"	"predicted protein"
"b2673"	"nrdH"	"glutaredoxin-like protein"
"b2674"	"nrdI"	"protein that stimulates ribonucleotide reduction"
"b2675"	"nrdE"	"ribonucleoside-diphosphate reductase 2, alpha subunit"
"b2676"	"nrdF"	"ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like"
"b2677"	"proV"	"glycine betaine transporter subunit -!- ATP-binding compoent of ABC superfamily"
"b2678"	"proW"	"glycine betaine transporter subunit -!- membrane component of ABC superfamily"
"b2679"	"proX"	"glycine betaine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b2680"	"ygaX"	"predicted transporter"
"b2681"	"ygaY"	"predicted transporter (pseudogene)"
"b2682"	"ygaZ"	"predicted transporter"
"b2683"	"ygaH"	"predicted inner membrane protein"
"b2684"	"mprA"	"DNA-binding transcriptional regulator"
"b2685"	"emrA"	"multidrug efflux system"
"b2686"	"emrB"	"multidrug efflux system protein"
"b2687"	"luxS"	"S-ribosylhomocysteinase"
"b4442"	"sraD"	"small RNA"
"b2688"	"gshA"	"gamma-glutamate-cysteine ligase"
"b2689"	"yqaA"	"conserved inner membrane protein"
"b2690"	"yqaB"	"predicted hydrolase"
"b2691"	"argQ"	"tRNA-Arg(ACG) (Arginine tRNA2)"
"b2692"	"argZ"	"tRNA-Arg(ACG) (Arginine tRNA2)"
"b2693"	"argY"	"tRNA-Arg(ACG) (Arginine tRNA2)"
"b2694"	"argV"	"tRNA-Arg(ACG) (Arginine tRNA2)"
"b2695"	"serV"	"tRNA-Ser(GCU) (Serine tRNA3)"
"b2696"	"csrA"	"pleiotropic regulatory protein for carbon source metabolism"
"b2697"	"alaS"	"alanyl-tRNA synthetase"
"b2698"	"recX"	"regulatory protein for RecA"
"b2699"	"recA"	"DNA strand exchange and recombination protein with protease and nuclease activity"
"b2700"	"ygaD"	"conserved protein"
"b2701"	"mltB"	"membrane-bound lytic murein transglycosylase B"
"b2702"	"srlA"	"glucitol/sorbitol-specific enzyme IIC component of PTS"
"b2703"	"srlE"	"glucitol/sorbitol-specific enzyme IIB component of PTS"
"b2704"	"srlB"	"glucitol/sorbitol-specific enzyme IIA component of PTS"
"b2705"	"srlD"	"sorbitol-6-phosphate dehydrogenase, NAD-binding, SDR family"
"b2706"	"gutM"	"DNA-binding transcriptional activator"
"b2707"	"srlR"	"DNA-bindng transcriptional repressor"
"b2708"	"gutQ"	"D-arabinose 5-phosphate isomerase"
"b2709"	"norR"	"DNA-binding transcriptional activator"
"b2710"	"norV"	"flavorubredoxin oxidoreductase"
"b2711"	"norW"	"NADH:flavorubredoxin oxidoreductase, subunit of nitric oxide reductase"
"b2712"	"hypF"	"carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases"
"b2713"	"hydN"	"formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit"
"b2714"	"ascG"	"DNA-binding transcriptional regulator"
"b2715"	"ascF"	"fused cellobiose/arbutin/salicin-specific enzyme IIBC component of PTS"
"b2716"	"ascB"	"cryptic 6-phospho-beta-glucosidase"
"b2717"	"hycI"	"protease involved in processing C-terminal end of HycE"
"b2718"	"hycH"	"protein required for maturation of hydrogenase 3"
"b2719"	"hycG"	"hydrogenase 3 and formate hydrogenase complex, HycG subunit"
"b2720"	"hycF"	"formate hydrogenlyase complex iron-sulfur protein"
"b2721"	"hycE"	"hydrogenase 3 and formate hydrogenase complex, FeS subunit, Ni  binding"
"b2722"	"hycD"	"hydrogenase 3, membrane subunit"
"b2723"	"hycC"	"hydrogenase 3, membrane subunit"
"b2724"	"hycB"	"hydrogenase 3, Fe-S subunit"
"b2725"	"hycA"	"regulator of the transcriptional regulator FhlA"
"b2726"	"hypA"	"protein involved in nickel insertion into hydrogenases 3"
"b2727"	"hypB"	"GTP hydrolase involved in nickel liganding into hydrogenases"
"b2728"	"hypC"	"protein required for maturation of hydrogenases 1 and 3"
"b2729"	"hypD"	"protein required for maturation of hydrogenases"
"b2730"	"hypE"	"carbamoyl phosphate phosphatase, hydrogenase 3 maturation protein"
"b2731"	"fhlA"	"DNA-binding transcriptional activator"
"b2732"	"ygbA"	"predicted protein"
"b2733"	"mutS"	"methyl-directed mismatch repair protein"
"b2734"	"pphB"	"serine/threonine-specific protein phosphatase 2"
"b2735"	"ygbI"	"predicted DNA-binding transcriptional regulator"
"b2736"	"ygbJ"	"predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain"
"b2737"	"ygbK"	"conserved protein"
"b2738"	"ygbL"	"predicted class II aldolase"
"b2739"	"ygbM"	"conserved protein"
"b2740"	"ygbN"	"predicted transporter"
"b2741"	"rpoS"	"RNA polymerase, sigma S (sigma 38) factor"
"b2742"	"nlpD"	"predicted outer membrane lipoprotein"
"b2743"	"pcm"	"L-isoaspartate protein carboxylmethyltransferase type II"
"b2744"	"surE"	"broad specificity 5'(3')-nucleotidase and polyphosphatase"
"b2745"	"truD"	"pseudoruidine synthase"
"b2746"	"ispF"	"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
"b2747"	"ispD"	"4-diphosphocytidyl-2C-methyl-D-erythritol synthase"
"b2748"	"ftsB"	"cell division protein"
"b2749"	"ygbE"	"conserved inner membrane protein"
"b2750"	"cysC"	"adenosine 5'-phosphosulfate kinase"
"b2751"	"cysN"	"sulfate adenylyltransferase, subunit 1"
"b2752"	"cysD"	"sulfate adenylyltransferase, subunit 2"
"b2753"	"iap"	"aminopeptidase in alkaline phosphatase isozyme conversion"
"b2754"	"ygbF"	"predicted protein"
"b2755"	"ygbT"	"conserved protein"
"b2756"	"ygcH"	"predicted protein"
"b2757"	"ygcI"	"predicted protein"
"b2758"	"ygcJ"	"predicted protein"
"b2759"	"ygcK"	"predicted protein"
"b2760"	"ygcL"	"predicted protein"
"b2761"	"ygcB"	"conserved protein, member of DEAD box family"
"b2762"	"cysH"	"3'-phosphoadenosine 5'-phosphosulfate reductase"
"b2763"	"cysI"	"sulfite reductase, beta subunit, NAD(P)-binding"
"b2764"	"cysJ"	"sulfite reductase, alpha subunit, flavoprotein"
"b2765"	"ygcM"	"6-pyruvoyl tetrahydrobiopterin synthase (PTPS)"
"b2766"	"ygcN"	"predicted oxidoreductase, FAD/NAD(P)-binding domain"
"b2767"	"ygcO"	"predicted 4Fe-4S cluster-containing protein"
"b2768"	"ygcP"	"predicted anti-terminator regulatory protein"
"b2769"	"ygcQ"	"predicted flavoprotein"
"b2770"	"ygcR"	"predicted flavoprotein"
"b2771"	"ygcS"	"predicted transporter"
"b4463"	"ygcU"	"predicted FAD containing dehydrogenase"
"b2774"	"ygcW"	"predicted deoxygluconate dehydrogenase, SDR family"
"b2775"	"yqcE"	"predicted transporter"
"b2776"	"ygcE"	"predicted kinase"
"b2777"	"ygcF"	"conserved protein"
"b2778"	"ygcG"	"predicted protein"
"b2779"	"eno"	"enolase"
"b2780"	"pyrG"	"CTP synthetase"
"b2781"	"mazG"	"nucleoside triphosphate pyrophosphohydrolase"
"b2782"	"chpA"	"toxin of the ChpA-ChpR toxin-antitoxin system, endoribonuclease"
"b2783"	"chpR"	"antitoxin of the ChpA-ChpR toxin-antitoxin system"
"b2784"	"relA"	"(p)ppGpp synthetase I/GTP pyrophosphokinase"
"b2785"	"rumA"	"23S rRNA (uracil-5)-methyltransferase"
"b2786"	"barA"	"hybrid sensory histidine kinase, in two-component regulatory system with UvrY"
"b2787"	"gudD"	"(D)-glucarate dehydratase 1"
"b2788"	"gudX"	"predicted glucarate dehydratase"
"b2789"	"gudP"	"predicted D-glucarate transporter"
"b2790"	"yqcA"	"predicted flavoprotein"
"b2791"	"yqcB"	"tRNA pseudouridine synthase"
"b2792"	"yqcC"	"conserved protein"
"b4408"	"csrB"	"regulatory sRNA"
"b2793"	"syd"	"predicted protein"
"b2794"	"yqcD"	"conserved protein"
"b2795"	"ygdH"	"conserved protein"
"b2796"	"sdaC"	"predicted serine transporter, receptor for Colicin V"
"b2797"	"sdaB"	"L-serine deaminase II"
"b2798"	"exo"	"exonuclease IX (5'-3' exonuclease)"
"b2799"	"fucO"	"L-1,2-propanediol oxidoreductase, NAD, Fe predicted"
"b2800"	"fucA"	"L-fuculose-1-phosphate aldolase"
"b2801"	"fucP"	"L-fucose transporter"
"b2802"	"fucI"	"L-fucose isomerase"
"b2803"	"fucK"	"L-fuculokinase"
"b2804"	"fucU"	"L-fucose mutarotase"
"b2805"	"fucR"	"DNA-binding transcriptional activator"
"b2806"	"ygdE"	"predicted methyltransferase"
"b2807"	"ygdD"	"conserved inner membrane protein"
"b2808"	"gcvA"	"DNA-binding transcriptional dual regulator"
"b4443"	"gcvB"	"regulatory sRNA"
"b2809"	"ygdI"	"predicted protein"
"b2810"	"csdA"	"cysteine, cystine, selenocyctine desulfinase and selenium remover, PLP-dependent"
"b2811"	"ygdK"	"predicted Fe-S metabolism protein"
"b2812"	"ygdL"	"predicted sulfurylase"
"b2813"	"mltA"	"membrane-bound lytic murein transglycosylase A"
"b2814"	"metZ"	"tRNA-initiator Met(CAU) (Initiator methionine tRNAf1)"
"b2815"	"metW"	"tRNA-initiator Met(CAU) (Initiator methionine tRNAf1)"
"b2816"	"metV"	"tRNA-initiator Met(CAU) (Initiator methionine tRNAf1)"
"b2817"	"amiC"	"N-acetylmuramoyl-L-alanine amidase"
"b2818"	"argA"	"fused acetylglutamate kinase homolog (inactive) -!- amino acid N-acetyltransferase"
"b2819"	"recD"	"exonuclease V (RecBCD complex), alpha chain"
"b2820"	"recB"	"exonuclease V (RecBCD complex), beta subunit"
"b2821"	"ptr"	"protease III"
"b2822"	"recC"	"exonuclease V (RecBCD complex), gamma chain"
"b2823"	"ppdC"	"predicted protein"
"b2824"	"ygdB"	"predicted protein"
"b2825"	"ppdB"	"conserved protein"
"b2826"	"ppdA"	"conserved protein"
"b2827"	"thyA"	"thymidylate synthetase"
"b2828"	"lgt"	"phosphatidylglycerol-prolipoprotein diacylglyceryl transferase"
"b2829"	"ptsP"	"fused PEP-protein phosphotransferase (enzyme I) of PTS system"
"b2830"	"nudH"	"nucleotide hydrolase"
"b2831"	"mutH"	"methyl-directed mismatch repair protein"
"b2832"	"ygdQ"	"predicted inner membrane protein"
"b2833"	"ygdR"	"predicted protein"
"b2834"	"tas"	"predicted oxidoreductase, NADP(H)-dependent aldo-keto reductase"
"b2835"	"lplT"	"lysophospholipid transporter"
"b2836"	"aas"	"fused 2-acylglycerophospho-ethanolamine acyl transferase -!- acyl-acyl carrier protein synthetase"
"b4444"	"omrA"	"regulatory small RNA"
"b4445"	"omrB"	"regulatory small RNA"
"b2837"	"galR"	"DNA-binding transcriptional repressor"
"b2838"	"lysA"	"diaminopimelate decarboxylase, PLP-binding"
"b2839"	"lysR"	"DNA-binding transcriptional dual regulator"
"b2840"	"ygeA"	"predicted racemase"
"b2841"	"araE"	"arabinose transporter"
"b2842"	"kduD"	"2-deoxy-D-gluconate 3-dehydrogenase, NAD-binding, SDR family"
"b2843"	"kduI"	"predicted 5-keto 4-deoxyuronate isomerase"
"b2844"	"yqeF"	"predicted acyltransferase"
"b2845"	"yqeG"	"predicted transporter"
"b2846"	"yqeH"	"conserved protein with bipartite regulator domain"
"b2847"	"yqeI"	"predicted transcriptional regulator"
"b2848"	"yqeJ"	"predicted protein"
"b2849"	"yqeK"	"predicted protein"
"b2850"	"ygeF"	"predicted protein"
"b2851"	"ygeG"	"predicted chaperone"
"b2852"	"ygeH"	"predicted transcriptional regulator"
"b2853"	"ygeI"	"predicted protein"
"b2854"	"pbl"	"predicted peptidoglycan-binding enzyme (pseudogene)"
"b2855"	"ygeK"	"predicted DNA-binding transcriptional regulator"
"b2856"	"ygeL"	"predicted protein"
"b2857"	"ygeM"	"predicted protein"
"b2858"	"ygeN"	"predicted protein (pseudogene)"
"b2859"	"ygeO"	"predicted protein"
"b2862"	"ygeP"	"predicted protein"
"b2863"	"ygeQ"	"predicted protein"
"b2864"	"glyU"	"tRNA-Gly(CCC) (Glycine tRNA1)"
"b2865"	"ygeR"	"Tetratricopeptide repeat transcriptional regulator"
"b2866"	"xdhA"	"xanthine dehydrogenase, molybdenum binding subunit"
"b2867"	"xdhB"	"xanthine dehydrogenase, FAD-binding subunit"
"b2868"	"xdhC"	"xanthine dehydrogenase, Fe-S binding subunit"
"b2869"	"ygeV"	"predicted DNA-binding transcriptional regulator"
"b2870"	"ygeW"	"conserved protein"
"b2871"	"ygeX"	"2,3-diaminopropionate ammonia-lyase"
"b2872"	"ygeY"	"predicted deacylase"
"b2873"	"hyuA"	"D-stereospecific phenylhydantoinase"
"b2874"	"yqeA"	"predicted amino acid kinase"
"b2875"	"yqeB"	"conserved protein with NAD(P)-binding Rossman fold"
"b2876"	"yqeC"	"conserved protein"
"b2877"	"ygfJ"	"conserved protein"
"b2878"	"ygfK"	"predicted oxidoreductase, Fe-S subunit"
"b2879"	"ssnA"	"predicted chlorohydrolase/aminohydrolase"
"b2880"	"ygfM"	"predicted oxidoreductase"
"b2881"	"xdhD"	"fused predicted xanthine/hypoxanthine oxidase, molybdopterin-binding subunit -!- Fe-S binding subunit"
"b2882"	"ygfO"	"xanthine transporter"
"b2883"	"guaD"	"guanine deaminase"
"b4464"	"ygfQ"	"predicted transporter"
"b2886"	"ygfS"	"predicted oxidoreductase, 4Fe-4S ferredoxin-type subunit"
"b2887"	"ygfT"	"fused predicted oxidoreductase Fe-S subunit -!- nucleotide-binding subunit"
"b2888"	"ygfU"	"predicted transporter"
"b2889"	"idi"	"isopentenyl diphosphate isomerase, different from other paralogs"
"b2890"	"lysS"	"lysine tRNA synthetase, constitutive"
"b2891"	"prfB"	"peptide chain release factor RF-2"
"b2892"	"recJ"	"ssDNA exonuclease, 5' --> 3'-specific"
"b2893"	"dsbC"	"protein disulfide isomerase II"
"b2894"	"xerD"	"site-specific tyrosine recombinase"
"b2895"	"fldB"	"flavodoxin 2"
"b2896"	"ygfX"	"predicted protein"
"b2897"	"ygfY"	"conserved protein"
"b2898"	"ygfZ"	"predicted folate-dependent regulatory protein"
"b2899"	"yqfA"	"predicted oxidoreductase, inner membrane subunit"
"b2900"	"yqfB"	"conserved protein"
"b2901"	"bglA"	"6-phospho-beta-glucosidase A"
"b2902"	"ygfF"	"predicted oxidoreductase with NAD(P)-binding domain"
"b2903"	"gcvP"	"glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex"
"b2904"	"gcvH"	"glycine cleavage complex lipoylprotein"
"b2905"	"gcvT"	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex"
"b2906"	"visC"	"predicted oxidoreductase, FAD/NAD(P)-binding domain"
"b2907"	"ubiH"	"2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding"
"b2908"	"pepP"	"proline aminopeptidase P II"
"b2909"	"ygfB"	"predicted protein"
"b2910"	"zapA"	"protein that localizes to the cytokinetic ring"
"b2911"	"ssrS"	"6S regulatory RNA"
"b2912"	"ygfA"	"predicted ligase"
"b4446"	"rygC"	"small RNA"
"b2913"	"serA"	"D-3-phosphoglycerate dehydrogenase"
"b2914"	"rpiA"	"ribosephosphate isomerase, constitutive"
"b2915"	"yqfE"	"conserved protein"
"b2916"	"argP"	"DNA-binding transcriptional activator, replication initiation inhibitor"
"b2917"	"yliK"	"methylmalonyl-CoA mutase"
"b2918"	"argK"	"membrane ATPase/protein kinase"
"b2919"	"ygfG"	"methylmalonyl-CoA decarboxylase, biotin-independent"
"b2920"	"ygfH"	"propionyl-CoA:succinate-CoA transferase"
"b2921"	"ygfI"	"predicted DNA-binding transcriptional regulator"
"b2922"	"yggE"	"conserved protein"
"b2923"	"argO"	"arginine transporter"
"b2924"	"mscS"	"mechanosensitive channel"
"b2925"	"fbaA"	"fructose-bisphosphate aldolase, class II"
"b2926"	"pgk"	"phosphoglycerate kinase"
"b2927"	"epd"	"D-erythrose 4-phosphate dehydrogenase"
"b2928"	"yggC"	"conserved protein with nucleoside triphosphate hydrolase domain"
"b2929"	"yggD"	"predicted DNA-binding transcriptional regulator"
"b2930"	"yggF"	"predicted hexoseP phosphatase"
"b4465"	"yggP"	"predicted dehydrogenase"
"b2933"	"cmtA"	"predicted fused mannitol-specific enzyme IIBC component of PTS"
"b2934"	"cmtB"	"predicted mannitol-specific enzyme IIA component of PTS"
"b2935"	"tktA"	"transketolase 1, thiamin-binding"
"b2936"	"yggG"	"predicted peptidase"
"b2937"	"speB"	"agmatinase"
"b2938"	"speA"	"biosynthetic arginine decarboxylase, PLP-binding"
"b2939"	"yqgB"	"predicted protein"
"b2940"	"yqgC"	"predicted protein"
"b2941"	"yqgD"	"predicted inner membrane protein"
"b2942"	"metK"	"methionine adenosyltransferase 1"
"b2943"	"galP"	"D-galactose transporter"
"b2944"	"sprT"	"conserved protein"
"b2945"	"endA"	"DNA-specific endonuclease I"
"b2946"	"rsmE"	"RNA base methyltransferase"
"b2947"	"gshB"	"glutathione synthetase"
"b2948"	"yqgE"	"predicted protein"
"b2949"	"yqgF"	"predicted Holliday junction resolvase"
"b2950"	"yggR"	"predicted transporter"
"b2951"	"yggS"	"predicted enzyme"
"b2952"	"yggT"	"predicted inner membrane protein"
"b2953"	"yggU"	"conserved protein"
"b2954"	"yggV"	"dITP/XTP pyrophosphatase"
"b2955"	"yggW"	"predicted oxidoreductase"
"b2956"	"yggM"	"conserved protein"
"b2957"	"ansB"	"periplasmic L-asparaginase II"
"b2958"	"yggN"	"predicted protein"
"b2959"	"yggL"	"predicted protein"
"b2960"	"yggH"	"tRNA (m7G46) methyltransferase, SAM-dependent"
"b2961"	"mutY"	"adenine DNA glycosylase"
"b2962"	"yggX"	"protein that protects iron-sulfur proteins against oxidative damage"
"b2963"	"mltC"	"membrane-bound lytic murein transglycosylase C"
"b2964"	"nupG"	"nucleoside transporter"
"b2965"	"speC"	"ornithine decarboxylase, constitutive"
"b2966"	"yqgA"	"predicted inner membrane protein"
"b2967"	"pheV"	"tRNA-Phe(GAA) (Phenylalanine tRNA)"
"b2968"	"yghD"	"predicted secretion pathway M-type protein, membrane anchored"
"b2969"	"yghE"	"predicted secretion pathway protein, L-type protein (pseudogene)"
"b2970"	"yghF"	"predicted secretion pathway protein, C-type protein"
"b2971"	"yghG"	"predicted protein"
"b2972"	"pppA"	"bifunctional prepilin leader peptidase -!- methylase"
"b4466"	"yghJ"	"predicted inner membrane lipoprotein"
"b2975"	"yghK"	"glycolate transporter"
"b2976"	"glcB"	"malate synthase G"
"b2977"	"glcG"	"conserved protein"
"b4467"	"glcF"	"glycolate oxidase iron-sulfur subunit"
"b4468"	"glcE"	"glycolate oxidase FAD binding subunit"
"b2979"	"glcD"	"glycolate oxidase subunit, FAD-linked"
"b2980"	"glcC"	"DNA-binding transcriptional dual regulator, glycolate-binding"
"b2981"	"yghO"	"predicted DNA-binding transcriptional regulator"
"b2983"	"yghQ"	"predicted inner membrane protein"
"b2984"	"yghR"	"predicted protein with nucleoside triphosphate hydrolase domain"
"b2985"	"yghS"	"predicted protein with nucleoside triphosphate hydrolase domain"
"b2986"	"yghT"	"predicted protein with nucleoside triphosphate hydrolase domain"
"b2987"	"pitB"	"phosphate transporter"
"b2988"	"gss"	"fused glutathionylspermidine amidase -!- glutathionylspermidine synthetase"
"b2989"	"yghU"	"predicted S-transferase"
"b2990"	"hybG"	"hydrogenase 2 accessory protein"
"b2991"	"hybF"	"protein involved with the maturation of hydrogenases 1 and 2"
"b2992"	"hybE"	"hydrogenase 2-specific chaperone"
"b2993"	"hybD"	"predicted maturation element for hydrogenase 2"
"b2994"	"hybC"	"hydrogenase 2, large subunit"
"b2995"	"hybB"	"predicted hydrogenase 2 cytochrome b type component"
"b2996"	"hybA"	"hydrogenase 2 4Fe-4S ferredoxin-type component"
"b2997"	"hybO"	"hydrogenase 2, small subunit"
"b2998"	"yghW"	"predicted protein"
"b2999"	"yghX"	"predicted hydrolase (pseudogene)"
"b3000"	"yghY"	"predicted dienlactone hydrolase (pseudogene)"
"b3001"	"yghZ"	"aldo-keto reductase"
"b3002"	"yqhA"	"conserved inner membrane protein"
"b3003"	"yghA"	"predicted glutathionylspermidine synthase, with NAD(P)-binding domain"
"b3005"	"exbD"	"membrane spanning protein in TonB-ExbB-ExbD complex"
"b3006"	"exbB"	"membrane spanning protein in TonB-ExbB-ExbD complex"
"b3008"	"metC"	"cystathionine beta-lyase, PLP-dependent"
"b3009"	"yghB"	"conserved inner membrane protein"
"b3010"	"yqhC"	"predicted DNA-binding transcriptional regulator"
"b3011"	"yqhD"	"alcohol dehydrogenase, NAD(P)-dependent, Zn-binding"
"b3012"	"dkgA"	"2,5-diketo-D-gluconate reductase A, NADP-binding"
"b3013"	"yqhG"	"conserved protein"
"b3014"	"yqhH"	"predicted outer membrane lipoprotein"
"b4469"	"ygiQ"	"conserved protein"
"b3017"	"sufI"	"repressor protein for FtsI"
"b3018"	"plsC"	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
"b3019"	"parC"	"DNA topoisomerase IV, subunit A"
"b3020"	"ygiS"	"predicted transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b3021"	"ygiT"	"predicted DNA-binding transcriptional regulator"
"b3022"	"mqsR"	"motility quorum-sensing regulator"
"b3023"	"ygiV"	"predicted transcriptional regulator"
"b3024"	"ygiW"	"conserved protein"
"b3025"	"qseB"	"DNA-binding response regulator in two-component regulatory system with QseC"
"b3026"	"qseC"	"sensory histidine kinase in two-component regulatory system with QseB"
"b3027"	"ygiZ"	"conserved inner membrane protein"
"b3028"	"mdaB"	"NADPH quinone reductase"
"b3029"	"ygiN"	"quinol monooxygenase"
"b3030"	"parE"	"DNA topoisomerase IV, subunit B"
"b3031"	"yqiA"	"predicted esterase"
"b3032"	"cpdA"	"cyclic 3',5'-adenosine monophosphate phosphodiesterase"
"b3033"	"yqiB"	"predicted dehydrogenase"
"b3034"	"nudF"	"ADP-ribose pyrophosphatase"
"b3035"	"tolC"	"thymidine transport channel"
"b3036"	"ygiA"	"predicted protein"
"b3037"	"ygiB"	"conserved outer membrane protein"
"b3038"	"ygiC"	"predicted enzyme"
"b3039"	"zupT"	"metal cation transporter"
"b3040"	"ygiE"	"zinc transporter"
"b3041"	"ribB"	"3,4 dihydroxy-2-butanone-4-phosphate synthase"
"b3042"	"yqiC"	"conserved protein"
"b3043"	"ygiL"	"predicted fimbrial-like adhesin protein"
"b3046"	"yqiG"	"predicted outer membrane usher protein"
"b3047"	"yqiH"	"predicted periplasmic pilin chaperone"
"b3048"	"yqiI"	"conserved protein"
"b3049"	"glgS"	"predicted glycogen synthesis protein"
"b3050"	"yqiJ"	"predicted inner membrane protein"
